cpf_cnpj;tipo;nome_fantasia;logradouro;numero;complemento;cep;telefone;email
29073518423;Jurídico;Cirino - ME;Esplanada Léo das Neves, 89;340;X;45718-430;+55 41 2294-4151;bporto@example.com
15273964873;Físico;Dra. Ana Laura Novais;Vereda da Rosa, 527;62;w;47337-661;84 8563-4750;tda-luz@example.com
28093765492;Físico;Araújo S/A;Trecho de Alves, 20;88;X;83465517;+55 (011) 2886-9380;ana-sophia82@example.net
93671542080;Físico;Maria Luísa Costa;Aeroporto Yasmin Oliveira, 80;0;z;51977927;(081) 7745 5657;gda-rosa@example.org
30197865259;Físico;Allana Duarte;Viela de Rodrigues, 71;930;C;28218-112;+55 71 5385 2060;bryanmachado@example.com
86419730520;Físico;João Vitor Moreira;Viaduto de Pereira, 28;738;Z;02492506;0900-692-9138;mgoncalves@example.org
14238675053;Jurídico;Guilherme Freitas;Ladeira Pacheco;874;Q;44987382;84 6623-2126;caleb12@example.com
50132967499;Jurídico;Moreira;Rodovia de Montenegro, 5;236;u;22291-347;+55 (031) 2973 3916;ryan21@example.com
48739065120;Físico;José Pedro da Cruz;Vale de Garcia, 72;615;Y;90074-933;11 8191 6556;ana-sophiagomes@example.org
04316958224;Jurídico;Pires;Vereda Nogueira, 706;917;G;92378318;(061) 8717 1879;maria-julia27@example.net
08471653290;Físico;Fernanda da Rosa;Lago Gomes, 5;891;U;95271-599;+55 84 0850-2514;piresbryan@example.net
43509786238;Jurídico;Pastor;Conjunto Léo Pires, 4;545;h;57850-811;+55 21 6872-3969;luiz-otavio16@example.net
81524973041;Jurídico;Benício Câmara;Loteamento Montenegro, 17;567;N;37095689;(031) 0162 4303;enzo-gabriel28@example.com
53286701912;Físico;Andrade;Feira Borges, 8;354;Q;34377491;(051) 6368 3703;mmendes@example.net
81752069420;Jurídico;Viana - EI;Favela Letícia Caldeira, 13;272;U;26348150;+55 31 4864 4031;portoeduarda@example.net
96320814551;Físico;Andrade;Viela Brito, 146;248;u;13796-394;+55 (011) 0437-3636;leandro69@example.com
98756321473;Jurídico;Nogueira;Via Arthur Miguel Almeida, 4;942;N;91061213;0800-929-3535;maria-sophiada-luz@example.net
81493275682;Físico;Lima Nascimento - EI;Viaduto de Mendes;395;J;56977-623;(051) 9170 0532;kevin12@example.com
81937542637;Jurídico;Yasmin Barbosa;Morro Yago Nogueira, 6;157;Z;91267355;+55 (011) 2739 0228;silvarodrigo@example.com
94328076140;Jurídico;Letícia Martins;Passarela Luiza Mendonça;122;l;46185123;(081) 4095 4467;melodavi-miguel@example.org
01642593842;Jurídico;Camargo;Setor Moura, 50;317;F;71822-893;+55 (051) 8200 5598;peixotocecilia@example.com
49178632528;Jurídico;Cecilia Monteiro;Quadra de Cavalcanti, 90;136;M;14972-442;+55 (081) 6022-1299;guerraamanda@example.org
72054618390;Físico;Pereira - ME;Viela Correia, 69;313;A;44480-313;11 2515-5796;valentina59@example.net
12345678910;Físico;Renan;Rua Sei Lá;20;C;08390470;11900002000;null
758978078;Físico;GUSTAVO GA;Rua 6;0;null;8977917;78786788;null
1;Físico;a;a;1;a;b;5;null
3;Físico;b;b;134;null;14;b;null
6542;Físico;c;gshfhs;2;null;n;465324;null
0987765712;Físico;Rofrigo;Humanis Tricotis;0;casa 78;7894512;00000000000;null
